type,name,image,traits,description,price
melee,Greatscissor,/modules/household-csb/equipments/greatscissor.webp,"Two Handed, Sharp, Pointed Weapon.","The two handed version of a halfscissor. This weapon was source of inspiration for many tales, and is used as a symbol of strength and courage. Among the many brave littlings who wield greatscissors, there is also William “Bravespine” Hearthworth Jr., the current Hearthkeeper.",3
melee,Razor,/modules/household-csb/equipments/razor.webp,"Two Handed, Sharp, Wide Weapon.","This cleaver with a wide and flat blade is perfect for littlings who want everyone to know how tough they are. The weapon was first modeled by smiths in Tuberdam to resemble the Master’s Razor and developed to cut down the mounts of opponents during cavalry charges. Fortunately, it has never been used on a wider scale because of its exorbitant production costs and unwieldiness.",3
melee,Halberd Key,/modules/household-csb/equipments/halberd-key.webp,"Two Handed, Heavy, Reach Weapon.","This polearm features a key bit at one of the extremities. Long ago, it was widely used by battalions throughout the House, but nowadays it is mostly wielded by honor guards and by soldiers posted at famous places or events.",3
melee,Key,/modules/household-csb/equipments/key.webp,Heavy Weapon.,"A one handed key with a bit made of hard metal. It is usually regarded as an artless weapon, good for mercenaries and shroomcutters, but has been repeatedly seen in the hands of undeniably noble wielders.",2
melee,Halfscissor,/modules/household-csb/equipments/halfscissor.webp,Sharpened Weapon.,"With no doubt the most common Household weapon. The halfscissor is a curved sword with a typical ringshaped guard. The crossed halfscissors are the symbol of battle for excellence, also being used as part of the Hearth seal.",2
melee,Traveling Nail,/modules/household-csb/equipments/traveling-nail.webp,Reach Weapon.,"This long and straight nail helps travelers on their long journeys on foot, as they climb up and down the House.",2
melee,Walking Toothpick,/modules/household-csb/equipments/walking-toothpick.webp,Weapon.,"An elegant wooden stick. Its pommel is often carved into a small sculpture, in the shape of a bee, beetle, or of another natural subject. It is the preferred self-defense weapon of gentlittlings. Available in many shades.",2
melee,Pintip,/modules/household-csb/equipments/pintip.webp,"Small, Illegal, Throwing, Pointed Weapon.","A finely-crafted sharp dagger which is nevertheless illegal. They come in many shapes and sizes but are, as a rule, designed to plunge in the back of an unsuspecting and unlucky victim.",2
melee,Bolt,/modules/household-csb/equipments/bolt.webp,"Two Handed, Heavy, Wide Weapon.","A large bolt with a blocky head. Requires two hands to use and is about as wieldy and elegant as a barstool, but hits much harder.",2
melee,Cutlery Piece,/modules/household-csb/equipments/cutlery-piece.webp,Weapon.,"There are three different types of cutlery pieces: knives, forks, and spoons. They differ in use and technique, but are all more or less faithful reproductions of items from the Master’s Cutlery. You might find Heavy, Pointed, or Sharpened cutlery pieces for both one and Two Handed use.",1
melee,Nailtip,/modules/household-csb/equipments/nailtip.webp,"Small, Illegal, Throwing Weapon.",A simple but sharp metal bodkin which can be used as a dagger. It’s the preferred weapon of bandits and criminals. Nailtips are always illegal.,1
melee,Brass Knuckles,/modules/household-csb/equipments/brass-knuckles.webp,"Small, Illegal Weapon.",Ready to use just by slipping over your knuckles like a small metal glove. Brass Knuckles are discreet and easy to hide weapons. Perhaps that is the reason why they are extremely illegal.,1
equip,Backpack,icons/containers/bags/pack-leather-white-tan.webp,Holds everything you need to travel., ,2
equip,Bumblebeer Glove,icons/equipment/hand/glove-frayed-cloth-white.webp,Used to avoid irritating the delicate paws of demanding pet bumblebees., ,2
equip,Carriage,icons/environment/settlement/wagon-black.webp,A large carriage which holds up to 8 littlings., ,6
equip,Cart,icons/commodities/wood/wood-wheel-brown.webp,A practical cart or buggy which holds up to 4 littlings., ,4
equip,Clean Clothes,icons/equipment/chest/shirt-collared-yellow.webp,Washing or changing clothes., ,1
equip,Cloak,icons/equipment/back/cloak-hooded-blue.webp,Protects you from the cold and gives you an air of mystery., ,1
equip,Cooking Kit,icons/tools/cooking/pot-camping-iron-black.webp,Helpful to cook in the open., ,2
equip,Dinner Out,icons/consumables/food/bowl-ribs-meat-rice-mash-brown-white.webp,Dinner out in a tavern or restaurant for one littling., ,1
equip,Disguise Kit,icons/equipment/back/cloak-hooded-pink.webp,Helpful to make disguises., ,3
equip,Doctor's Bag,icons/containers/bags/satchel-leather-brown.webp,Helpful to treat wounds or illnesses., ,4
equip,Elegant Clothes,icons/equipment/back/mantle-collared-blue.webp,Allow you to be Elegant., ,3
equip,Fire Starter,icons/commodities/stone/ore-chunk-red.webp,Helpful to light a small fire., ,1
equip,Gala Clothes,icons/equipment/chest/robe-layered-blue.webp,Allow you to be Pompous., ,5
equip,Grappling Hook and Line,icons/tools/fishing/hook-multi-steel-grey.webp,Helpful to climb., ,2
equip,Jewels,icons/commodities/treasure/broach-gold-ruby.webp,"Rings, necklaces, bracelets, carved pipes, tiaras, and so on.", ,1
equip,Lantern,icons/sundries/lights/lantern-bullseye-signal-copper.webp,Helpful to see in the dark. Hindering to going undetected in the dark., ,2
equip,Lockpicks,icons/commodities/metal/pin-cottar-steel.webp,Helpful to pick locks., ,2
equip,Musical Instrument,icons/tools/instruments/lute-gold-brown.webp,Helpful when performing or making noise., ,1
equip,Pack Snail,icons/creatures/invertebrates/snail-movement-green.webp,Helpful to carry heavy or bulky loads., ,4
equip,Saddle Animal,icons/environment/creatures/bug-beetle-horned-red.webp,A Mouse or Beetle you can mount. Helpful to run., ,6
equip,Single Room,icons/commodities/leather/fur-pelt-spotted-tan.webp,Boarding in a hotel for one littling., ,1
equip,Stylist's Bag,icons/containers/bags/pouch-leather-leaf-green.webp,Helpful to raise your level of Decorum., ,5
equip,Telescope,icons/tools/navigation/spyglass-telescope-brass.webp,Helpful to look far away., ,2
equip,Tent,icons/sundries/survival/bedroll-grey.webp,"Practical tent for 2 to 4 littlings. Easy to assemble, but not to disassemble.", ,2
equip,Theater Ticket,icons/sundries/misc/admission-ticket-blue.webp,Valid for one littling. Numbered seats., ,2
equip,Toolbox,icons/tools/hand/hammer-simple-stone.webp,Helpful to repair items or build Gadgets., ,3
equip,Bettle Companion,icons/creatures/invertebrates/beetle-stag-yellow-green.webp,Helpful to climb or break objects., ,0
equip,Bumblebee Companion,icons/creatures/invertebrates/bee-simple-green.webp,Helpful to keep your balance or retrieve  small items. It allows you to hit targets within Short Range as you would with a Thrown Weapon., ,0
equip,Gecko Companion,icons/creatures/reptiles/lizard-iguana-green.webp,"Helpful to distract, grab or hide small objects, or cheat at games.", ,0
equip,Mouse Companion,icons/creatures/mammals/rodent-rat-green.webp,"Helpful to follow trails, recover items, and find help.", ,0
gadget,Automatic Hander,icons/equipment/hand/glove-simple-leather-brown-blue.webp,Quickly extracts a weapon. You begin combat with an Action Turn.,"This mechanism is secured to the wrist of the user who, with one precise gesture, can make a small object or weapon immediately dart into their hand. This is mainly used by littlings who always want to have their portable pistol or nailtip close at hand, but there are some sly individuals who also use it to cheat when playing cards.",5
gadget,Cobweb Bomb,icons/commodities/materials/material-webbing.webp,Traps someone in cobwebs or nullifies an Opponent’s Move.,"Compressed inside this small metal sphere, there’s a special synthetic cobweb. Push the button, toss the bomb, and look as your enemies get enveloped in an explosion of sticky cobwebs. Careful when you use this in small spaces, or you’ll get webbed too!",7
gadget,Emergency Resolver,icons/commodities/materials/liquid-green.webp,"You create a diversion, or leave combat.","This simple mechanism allows you to spray colorful ink toward someone’s face, creating the perfect diversion. It's usually disguised as a small decorative mold flower, and can be put in the breast pocket or pinned to the lapel of a jacket, but also used as a cuff link or as a hat ornament.",4
gadget,Escape Helper MM,icons/commodities/tech/cog-copper.webp,"Sets you free from ropes, handcuffs, cobwebs, or similar restraints.","At a first glance, the escape helper looks like a wide metallic armband, often covered in fabric or leather, with a thin ring on one side. By pulling this ring with your finger or teeth, you activate a mechanism that uncovers a series of short hooked or serrated blades, or sometimes even a small vial of corrosive agent, which can be used to cut through ropes and handcuffs.",6
gadget,Household Compass,/modules/household-csb/equipments/household-compass.webp,Points to the center of the House. Helpful to find your way.,"A spherical compass that allows you to find your bearings in the House. This jewel of technology is the product of joint research done by Wise Paracelsus and Argo the Bureaucrat. The needle is bound to the Domain Contract and, as such, always points to the center of the House.",5
gadget,Battle Spinning Top,icons/weapons/thrown/bomb-spiked-purple.webp,Can be used to break through walls or make an attack with Craft + Academia.,"This metal spinning top is almost one tiny meter tall and equipped with retractable blades or spikes. It can be thrown at great speed thanks to a spring-loaded or crank-operated mechanism. In all confidence, this is a public menace.",6
gadget,Multi-lens Glasses,/modules/household-csb/equipments/multi-lens-glasses.webp,Helpful to analyze clues and crime scenes.,"This pair of glasses is outfitted with many free-moving and superimposable lenses of various kinds. They might not be the height of fashion, but they can prove extremely useful when you have to analyze the smallest details.",4
gadget,Parachute Backpack,icons/containers/bags/pack-leather-silver-pink.webp,Slows your fall and allows you to glide from great heights.,"By pulling a special string on the side of this compact backpack, you can release a parachute made of fabric or paper. With the help of this invention, a littling can jump from any height and still reach the ground – almost – unscathed. Being able to control the direction in which you glide and avoid crashing into Walls is far from easy, requiring a suitable roll in Grace + Academia.",9
gadget,Spring-loaded Grappling Hook,icons/tools/fishing/hook-multi-steel-brown.webp,"You reach a high place, or pull something down to you.",A short spring-loaded rifle made to shoot a grappling hook at great distance. It is connected to an automatically rewinding spool of thread secured to the user’s belt.,5
gadget,Spring-loaded Boots,icons/commodities/tech/coil-steel-green.webp,Helpful to run and jump.,"Hidden in the platform of these boots there are two extremely elastic springs. With just a tap of the heel, they immediately spring out, allowing the wearer of this gadget to jump and bounce for great distances and at great speed. Worth trying at least once in your life.",5
gadget,Spring-loaded Roach,icons/creatures/invertebrates/beetle-stag-tan-brown.webp,"Walks around, distracting an unsuspecting target.","This small metallic insect looks exactly like your everyday roach. You just have to turn the key on its back, and the spring-loaded roach will begin pattering and crawling in random directions, drawing the attention of littlings and beasts. It’s a very creative distraction!",4
gadget,Surprise-in-the-Box,icons/containers/boxes/box-gift-green.webp,Knocks out whoever opens it.,"This apparently normal box can be made to look like a hat-box or a present. Hidden inside, there’s a heavy boxing glove on a loaded spring, which will immediately go off as soon as the lid is opened. Surprise!",4
