type,name,image,description,suits
duelist,Feint,icons/weapons/swords/swords-sharp-worn.webp,"<strong>Feint: </strong> Requires a Dueling Weapon. Repeat a single Action Roll against a littling Opponent, you have +1 to the roll and ignore all Conditions.","<span style=""color: #248736;"">&clubs;️</span><span style=""color: #000000;"">&spades;️</span>"
duelist,Broken Time,icons/weapons/swords/swords-sharp-worn.webp,"<strong>Broken Time: </strong> Requires a Dueling Weapon. After you hit a littling, you can make a second Action Roll with -1.","<span style=""color: #248736;"">&clubs;️</span>"
duelist,Make an Entrance,icons/weapons/swords/swords-sharp-worn.webp,"<strong>Make an Entrance: </strong> Requires a Dueling Weapon. Instantly enter a combat and make an Action Turn, even if you were very far from the Opponent or otherwise engaged.","<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #000000;"">&spades;️</span>"
duelist,Vendetta,icons/weapons/swords/swords-sharp-worn.webp,"<strong>Vendetta: </strong> Requires a Dueling Weapon. After a failed Reaction Roll against a littling Opponent, you deal them 1 Stress.","<span style=""color: #000000;"">&spades;️</span>"
ah-bettle,Hold the Ground,icons/creatures/invertebrates/beetle-stag-yellow-green.webp,<strong>Hold the Ground: </strong> All your friends gain +1 to their next Reaction Roll against an Opponent.,"<span style=""color: #2062AC;"">&diams;️</span><span style=""color: #248736;"">&clubs;️</span>"
ah-bettle,Avenge,icons/creatures/invertebrates/beetle-stag-yellow-green.webp,"<strong>Avenge: </strong> After a failed Reaction Roll against an Opponent, you deal them 1 Stress.","<span style=""color: #248736;"">&clubs;️</span>"
ah-bettle,Endurance,icons/creatures/invertebrates/beetle-stag-yellow-green.webp,"<strong>Endurance: </strong> A Character can either avoid suffering the Hurt Condition, or avoid accumulating Stress because of an Opponent.","<span style=""color: #2062AC;"">&diams;️</span><span style=""color: #248736;"">&clubs;️</span>"
ah-bettle,Flying Charge,icons/creatures/invertebrates/beetle-stag-yellow-green.webp,"<strong>Flying Charge: </strong> The first time you attack an Opponent, you deal 1 additional Stress.","<span style=""color: #248736;"">&clubs;️</span>"
ah-bettle,Smash,icons/creatures/invertebrates/beetle-stag-yellow-green.webp,"<strong>Smash: </strong> Either after you hit an Opponent, you can make a second Action Roll with -1, or you smash through a door or wall.","<span style=""color: #248736;"">&clubs;️</span>"
ah-bettle,Ironclad Resistance,icons/creatures/invertebrates/beetle-stag-yellow-green.webp,"<strong>Ironclad Resistance: </strong> You or a friend automatically dodge some bullets, an attack, or a move of a Large, Huge, Giant or Flying Opponent without rolling the dice.","<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #248736;"">&clubs;️</span>"
ah-bumblebee,Fly Like a Butterfly,icons/creatures/invertebrates/bee-simple-green.webp,<strong>Fly Like a Butterfly: </strong> You can React against an Opponent by rolling Grace +1 instead of the requested Skill.,"<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #248736;"">&clubs;️</span>"
ah-bumblebee,Flying Help,icons/creatures/invertebrates/bee-simple-green.webp,"<strong>Flying Help: </strong> A Character climbs a wall, keeps their balance, or avoids the consequences of a fall without rolling dice.","<span style=""color: #2062AC;"">&diams;️</span><span style=""color: #248736;"">&clubs;️</span>"
ah-bumblebee,Cuteness Overload,icons/creatures/invertebrates/bee-simple-green.webp,"<strong>Cuteness Overload: </strong> Either remove the Embarrassed or Frightened Condition from a Character, or cheer up someone.","<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #2062AC;"">&diams;️</span>"
ah-bumblebee,Sting like a Bee,icons/creatures/invertebrates/bee-simple-green.webp,<strong>Sting like a Bee: </strong> An Opponent within Range suffers 1 Stress.,"<span style=""color: #248736;"">&clubs;️</span>"
ah-bumblebee,Inspire,icons/creatures/invertebrates/bee-simple-green.webp,<strong>Inspire: </strong> Give a Character +1 to their next Action Roll.,"<span style=""color: #CD1719;"">&hearts;️</span>"
ah-bumblebee,Hive Mind,icons/creatures/invertebrates/bee-simple-green.webp,"<strong>Hive Mind: </strong> After a friend has successfully passed a roll, you succeed on the same roll without rolling dice.","<span style=""color: #2062AC;"">&diams;️</span>"
ah-gecko,Give a Sticky Hand,icons/creatures/reptiles/lizard-iguana-green.webp,<strong>Give a Sticky Hand: </strong> Gain +1 to your next Roll.,"<span style=""color: #000000;"">&spades;️</span>"
ah-gecko,Grab it,icons/creatures/reptiles/lizard-iguana-green.webp,<strong>Grab it: </strong> Steal or retrieve a small object.,"<span style=""color: #000000;"">&spades;️</span>"
ah-gecko,Draw Attention,icons/creatures/reptiles/lizard-iguana-green.webp,"<strong>Draw Attention: </strong> Either distract someone, or prevent a Character from suffering the Embarrassed Condition.","<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #000000;"">&spades;️</span>"
ah-gecko,Snitch,icons/creatures/reptiles/lizard-iguana-green.webp,"<strong>Snitch: </strong> Either ask the Narrator for a clue or suggestion, or find an Opponent’s Weak Spot.","<span style=""color: #2062AC;"">&diams;️</span><span style=""color: #000000;"">&spades;️</span>"
ah-gecko,Slip Away,icons/creatures/reptiles/lizard-iguana-green.webp,<strong>Slip Away: </strong> A friend suffers the consequences of your failure instead of you.,"<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #000000;"">&spades;️</span>"
ah-gecko,Cheap Trick,icons/creatures/reptiles/lizard-iguana-green.webp,"<strong>Cheap Trick: </strong> After you hit a littling, you can make a second Action Roll with -1.","<span style=""color: #248736;"">&clubs;️</span>"
ah-mouse,Sniff Around,icons/creatures/mammals/rodent-rat-green.webp,"<strong>Sniff Around: </strong> Either ask the Narrator for a clue or suggestion, or find an Opponent’s Weak Spot.","<span style=""color: #2062AC;"">&diams;️</span><span style=""color: #000000;"">&spades;️</span>"
ah-mouse,Growl,icons/creatures/mammals/rodent-rat-green.webp,"<strong>Growl: </strong> You can React against an Opponent using Will +1, instead of the requested Skill.","<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #248736;"">&clubs;️</span>"
ah-mouse,Lick the Wounds,icons/creatures/mammals/rodent-rat-green.webp,<strong>Lick the Wounds: </strong> Remove the Hurt or Frightened Condition from a Character.,"<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #2062AC;"">&diams;️</span>"
ah-mouse,Protect,icons/creatures/mammals/rodent-rat-green.webp,"<strong>Protect: </strong> Either prevent a friend from suffering the Broken or Hurt Condition, or save a friend from having to Bow Out without spending a Joker.","<span style=""color: #248736;"">&clubs;️</span>"
ah-mouse,Slash,icons/creatures/mammals/rodent-rat-green.webp,"<strong>Slash: </strong> After you hit a Large, Huge, or Giant beast, you can make a second Action Roll with -1.","<span style=""color: #248736;"">&clubs;️</span>"
ah-mouse,Warn of Danger,icons/creatures/mammals/rodent-rat-green.webp,"<strong>Warn of Danger: </strong> Either have a single Character avoid an ambush after a failed roll, or pull a Character out of a dangerous situation, or make them leave combat.","<span style=""color: #CD1719;"">&hearts;️</span><span style=""color: #000000;"">&spades;️</span>"
