name,opponent_level,level,stress_amount,crucial_boxes,moves_name,traits,optional_traits,action1,action2,action3,action4,action5,action6,character_description,moves_desc
Beetle,Critical Opponent,3,12,Crucial Boxes: 5-10,"Impact, then Impact","Beast, Large, Double Trouble, Hardened Shell","Triple Threat, Huge, Shield",The beetle tries to hit you with its horn. React with Elusion.,The beetle crashes into you. React with Strength.,The beetle attacks you with its jaws or horns. React with Fight.,The beetle charges at you. React with Athletics.,"The beetle goes into a rage, you must find cover. React with Investigation.",The beetle snorts and flutters its wings. React with Will.,"There are a myriad species of beetles in the house. The larger ones, like the stag beetle, or the Dasewer rhinoceros beetle, have been used as guard animals and mounts since ancient times. However, there are also wild beetles, and they can prove very aggressive toward littlings. This is especially true for doodlebugs: huge, aggressive beetles unanimously recognized as wild animals you never want to run into.","<strong>Impact: </strong>The beetle charges, crashing into you. Characters who don't pass an Extreme Reaction Roll in Athletics + War become Hurt. If they are already Hurt, they become Broken."
Lizard,Critical Opponent,3,6,Crucial Boxes: 3-5,"Tail Whip, then Getaway","Beast, Large, Double Trouble, Nimble","Triple Threat, Huge, Filthy, Counter-attack",The lizard strikes at you with its tongue or throws debris with its tail. React with Elusion.,"The lizard studiously waits for your next move, then strikes. React with Insight.",The lizard jumps on you. React with Athletics.,The lizard forces you to jump around to avoid its tail. React with Grace.,"The lizard shakes its tail to raise a dust cloud, then lunges suddenly. React with Caution.",The lizard tries to maul your arms. React with Dexterity.,"Despite being large reptiles, lizards are incredibly nimble, and can walk on walls with extreme ease. They are native to the Kashab Desert, where some even use them as mounts, but can be found throughout the House.","<strong>Tail Whip: </strong>A quick swipe of the tail. Characters who don't pass a Critical Reaction Roll in Grace + War fall to the ground. Characters on the ground must use their action to stand back up. Until they do, they suffer -1 to all rolls.<br><strong>Getaway:</strong> The lizard drops its tail and runs away. A Character who hasn't had their turn yet may make a Reaction Roll in Investigation + Street to notice this trick. If they succeed, they can choose whether to resume combat or let the lizard escape. If they fail, everyone becomes Confused and the lizard escapes."
Cuirassiers,Critical Opponent,3,8,Crucial Boxes: 5,Defensive Formation,"Littling, Armed, Double Trouble, Hard to Kill, Armored","Shooters, Shield",The cuirassiers raise their shields and push you back. React with Strength.,The cuirassiers attack you head-on. React with Fight.,The cuirassiers try to scatter you. React with Insight.,The cuirassiers keep you at a distance with their spears. React with Athletics.,The cuirassiers try to surround you. React with Caution.,The cuirassiers make quick thrusts with their spears. React with Dexterity.,"Some gendarmes and soldiers wear heavy armor and helmets with the symbols of their army. Cuirassiers are employed to protect important targets or to make searches, and they always move in groups. They prefer polearms or two-handed weapons, and sometimes have armored shooters in their group.","<strong>Defensive Formation:</strong> The cuirassiers come shoulder to shoulder. From now on, Characters have -1 to all Action Rolls made to attack."
Rat,Critical Opponent,3,9,Crucial Boxes: 3-6,"Tail Whip, then Rage","Beast, Huge, Double Trouble, Filthy","Triple Threat, Counter-attack",The rat attacks you with its fangs and claws. React with Fight.,The rat slams you against the ground or wall. React with Strength.,The rat tries to furiously chomp on you. React with Dexterity.,"The rat whips the air with its tail and claws, you must find cover. React with Investigation.","The rat bares its fangs, then strikes with the tail. React with Insight.",The rat makes terrifying growls and squeaks. React with Will.,"Rats look much like hugely overgrown mice with long, muscly tails. However, they have very little in common with their noble cousins. Unlike mice, rats hunt littlings and are impossible to train, with the exception of a few tamer breeds. These beasts are a real pain for hunters, as they threaten the natural balance of any hunting ground they reach. They have been known to sometimes even venture into towns to find food.","<strong>Tail Whip: </strong>A quick swipe of the tail threatens to knock down the Characters. Characters who don't pass a Critical Reaction Roll in Grace + War fall to the ground. Characters on the ground must use their action to stand back up. Until they do, they suffer -1 to all rolls.<br><strong>Rage: </strong>The hair on the back of the rat stands up as it hisses. From now on, Characters have -1 to all Action Rolls made to attack."
Large Spider,Critical Opponent,4,9,Crucial Boxes: 2-5-7-9,"Cobweb Volley (or Slam), then Pile On, then Cobweb Volley (or Slam), then Pile On","Beast, Huge, Double Trouble","Triple Threat, Hardened Shell, Cobweb, Venomous, Filthy, Counter-attack, Unreachable",The large spider attacks from above with its legs. React with Elusion.,"The large spider thrashes about causing a collapse, you must find cover. React with Investigation.",The large spider attacks you with its front legs. React with Fight.,The large spider causes a tremor or small collapse. React with Grace.,The large spider circles around you and tries to put your backs to the wall. React with Caution.,The large spider stares at you with its too many eyes and clicking chelicerae. React with Will.,"As if common spiders weren't enough, the House is also home to too many large spiders, hiding in their lairs in the Inbetweens. Tarantulas (Cobweb, Venomous) are huge, hairy arachnids that roam the lands of the Horde, camouflaging with the rusted walls of the Basement. Wolf Spiders (Hardened Shell, Counter-attack), on the other hand, are unusually strong beasts. Luckily they at least produce no cobwebs. They only live in Pinewood and in mushroom forests, where they love to lay lethal ambushes.","<strong>Cobweb Volley: </strong>In rapid succession, the spider targets all Characters with its cobweb. Characters who don't pass a Critical Reaction Roll in Elusion + War are trapped. See the Cobweb Trait.<br><strong>Slam: </strong>The spider uses its huge body to ram into the Characters. Characters who don't pass a Critical Reaction Roll in Athletics + War become Hurt. If they are already Hurt, they become Tired. If they are already Tired, they become Broken.<br><strong>Pile On: </strong>The spider focuses on the weakest prey in sight. The Character with the highest level of Stress immediately suffers 1 Stress. If this makes them Overstressed or forces them to Bow Out, the Move gets repeated."
Honor Guard,Critical Opponent,4,9,Crucial Boxes: 4-8,"Defensive Formation, then Storm","Littling, Armed, Double Trouble, Hard to Kill, Armored, Shield, Shooters","Triple Threat, Counter-attack, Barrage",The honor guard raise their shields and push you back. React with Strength.,The honor guard keep you at a distance with their spears. React with Athletics.,The honor guard try to surround you. React with Caution.,The honor guard shout orders and get into formation. React with Will.,The honor guard attack you head-on. React with Fight.,"The honor guard shoot at you with two alternating lines, you must find cover. React with Investigation.","Only the most skillful littlings are chosen to become part of an honor guard. These littlings wear showy sets of heavy armor, always shined and oiled, and act as escorts for nobles, ambassadors, and officers. The most protected places in the House, like the Highlight palace or the house of the Caliph in Al Sehir, are always guarded by groups of these littlings, who carry tall shields with the emblem of their nation.","<strong>Defensive Formation: </strong>The soldiers of the honor guard come shoulder to shoulder. From now on, Characters have -1 to the Action Rolls made to attack.<br><strong>Storm: </strong>The soldiers of the honor guard won't give up so easily. From now on, Characters who fail to roll at least one Basic Success on their Reaction Turn immediately become Tired. If they are already Tired, they become Hurt."
Master Duelists,Critical Opponent,4,11,Crucial Boxes: 2-4-6-8-10,Parry or Disarm or Fluster or Pile On,"Littling, Armed, Double Trouble, Hard to Kill, Nimble, Counter-attack","Triple Threat, Shooters",The master duelists make a series of quick thrusts. React with Elusion.,The master duelists press hot on your heels. React with Will.,"The master duelists jump above you, attacking from mid-air. React with Athletics.",The master duelists attempt a feint. React with Insight.,The master duelists cross blades with you. React with Dexterity.,The master duelists try to throw you off balance. React with Grace.,"Extremely high-ranking officers, masters from fencing academies, and silent assassins ready to fight to their last breath. Whenever the master duelists reach their Crucial Box, the Narrator can choose, either freely or randomly, which Move they use.","<strong>Parry: </strong>The duelists ignore the next successful attack against them.<br><strong>Disarm: </strong>The duelists disarm the Character who made them fill in the Crucial Box. <br><strong>Fluster: </strong>The duelists mock the Characters, they try to undo their pants, pull their hats on their faces, or embarrass them by getting in their way. React with Grace + War. Characters who fail become Embarrassed.<br><strong>Pile On: </strong>The duelists focus on the weakest fighter. The Character with the highest level of Stress immediately suffers 1 Stress. If this makes them Overstressed or forces them to Bow Out, the Move gets repeated."
Spurred Centipede,Critical Opponent,4,9,Crucial Boxes: 3-6-8,"Encircle, then Slam, then Spiral","Beast, Huge, Double Trouble, Shield, Venomous, Crawling","Triple Threat, Hardened Shell, Counter-attack, Unreachable",The spurred centipede slithers around you and tries to constrict you. React with Elusion.,The spurred centipede stabs at you with a myriad of pointed legs. React with Fight.,"The spurred centipede thrashes about, causing a small earthquake. React with Grace.",The spurred centipede circles around you and pounces suddenly. React with Caution.,The spurred centipede unleashes a terrifying and deafening scream. React with Will.,"The spurred centipede causes a collapse, you must find cover. React with Investigation.","The spurred is an especially large species of centipede, characterized by a black, opaque color and hard spurs on their legs on their legs. These huge beasts are fortunately hard to find, as they build their nests only in the depths of the Inbetweens and in some of the most dangerous places of the House.","<strong>Encircle:</strong> The centipede crawls around the group in a whirl. All Characters suffer -1 to their next Reaction Roll.<br><strong>Slam: </strong>The centipede rams violently against the Characters. Characters who don't pass a Critical Reaction Roll in Athletics + War become Hurt. If they are already Hurt, they become Tired. If they are already Tired, they become Broken. Spiral: The centipede coils into a spiral. All Characters suffer -1 to their next Action Roll."
Golden Backs,Critical Opponent,4,13,Crucial Boxes: 4-7-9-11,"Storm, High Altitude, Tailspin, To the End","Littling, Armed, Hard to Kill, Double Trouble, Armored, Nimble, Counter-attack",-,The golden backs cross swords with you. React with Dexterity.,The golden backs fly in circles around you and lunge suddenly. React with Insight.,The golden backs attack you with their cocktail spears. React with Fight.,The golden backs attack with quick acrobatic strikes. React with Grace -1.,The golden backs fly toward you at top speed. React with Elusion.,The golden backs take to the air and dive at you suddenly. React with Caution.,"Pride of the Realm: The most noble, most decorated faeries have a chance to renew their Hereditary Contract in a solemn ritual that takes place in the shade of the Great Window. Thanks to this ritual, they gain the gift of True Flight: the ability to fly without limitations and at great speed. The best among them also receive a precious set of armor made from golden chafer, with elytra that protect their wings without impeding their flight. These blond knights, called as such after the color of the plumes on their helmets, are the pride of the Realm and represents the main assault force of the Great Imperial Army. They are usually employed in defense of the airspace near Highlight and in the Outhold, but they can also be put in charge of small groups of soldiers in any nation of the House. Thanks to the Astraviya Treaty, the Golden Backs now have more decisional power than any other officer in any other army of the Household, with the exception of generals.","<strong>Storm: </strong>The golden backs get into attack formation. From now on, Characters who fail to roll at least one Basic Success on their Reaction Turn immediately become Tired. If they are already Tired, they become Hurt.<br><strong>High Altitude: </strong>The golden backs take to the air. They are within range to be hit only for ranged weapons, firearms, and flying Faeries. When attacked, the Characters may counter-attack with melee weapons as well.<br><strong>Tailspin: </strong>The golden backs make a spiraling maneuver and then dive to attack the Characters. Then they return to high altitude. Characters who don't pass an Extreme Reaction Roll in Athletics + War become Hurt. If they are already Hurt, they become Broken.<br><strong>To the End: </strong>The golden backs land and unsheathe their twin half-scissors. They lose the Double Trouble Trait and from now on, they are an Extreme Opponent."
Janissaries,Critical Opponent,5,12,Crucial Boxes: 3-6-10,"Red Fury, Rusted Blood, Revenant","Littling, Armed, Hard to Kill, Triple Threat, Shield, Armored, Shooters, Counter-attack, Rust",-,The janissaries draw their pistols and shoot at you. React with Elusion.,The janissaries attack you with rusted cogpesh. React with Fight.,The janissaries point their weapons at you and slowly close in. React with Caution.,The janissaries spread shards of red rust with every move. React with Will -1.,The janissaries jump toward you in an acrobatic maneuver. React with Grace.,The janissaries cross their cogpesh with your weapons. React with Dexterity.,"The Horde Army picks the best sluagh among their ranks so that they may join the Janissaries corp. These littlings are led to the Red Spring, where Skullrider Vaqaard has them enter a Rusted Contract. Thus, janissaries gain the ability to use rusted weapons and armor without being affected by the disease in them. They then go on to serve to protect either the capital or an Emir. Whenever they are not wearing their rusted armor, they can be recognized by the thin coppery veins visible under their skin.","<strong>Red Fury: </strong>The janissaries call on the power of rust and enter a state of fury. From now on, Characters have -1 to all Action Rolls made to attack.<br><strong>Rusted Blood: </strong>Rust flows through the veins of the janissaries, healing their every wound. The janissaries can suffer no more Stress this turn.<br><strong>Revenant: </strong>By the power of rust, the janissaries shake off their pain. Whenever the janissaries should suffer 1 Stress, the Narrator rolls a numeric die. <strong>Even: </strong>the janissaries suffer no Stress."
Cinder Knights,Critical Opponent,5,12,Crucial Boxes: 4-9,"Spin Attack, then Juggernaut","Littling, Armed, Double Trouble, Heavily Armored",-,The knights quickly change their grip and attack you with great force. React with Caution.,The knights unleash a war-cry that echoes from their helmets. React with Will.,The knights strike powerful blows with their ceremonial keys and great-scissors. React with Fight.,"The knights throw their spinning weapons at you, you must find cover. React with Investigation.",The knights charge at you headfirst. React with Athletics.,The knights push you against the wall or to the ground. React with Strength -1.,Only the most valiant boggarts can endure the grueling training in Cinderhall and become Knights. These warrior monks devoted to protecting the Hearth can rely on an Ashen Contract which grants them the right to wear adorned armor that would melt into ashes in the hands of any other littling.,"<strong>Spin Attack: </strong>The knights spin their weapons. Characters who fail a Critical Reaction Roll in Grace + War fall to the ground. Fallen Characters must use their action to stand back up. Until they do, they suffer -1 to all rolls.<br><strong>Juggernaut: </strong>The knights go juggernaut, and their legendary cinder armor grows to fit their enlarged bodies. They lose the Double Trouble Trait and from now on, they are an Extreme Opponent and they gain the Large Trait."
Porcelain Infantry,Critical Opponent,5,15,Crucial Boxes: 3-7-10-13,"Charge, then Defensive Formation, then Charge, then Water Retention","Littling, Armed, Double Trouble, Heavily Armored, Shooters, Barrage",-,"The infantry shoot at you with two alternating lines, you must find cover. React with Investigation.",The infantry attack you with double-bitted keys and razors. React with Fight.,"The infantry clash against you, pushing you with their shoulders. React with Strength.",The infantry get in formation and hold their attack until your flank is exposed. React with Caution.,The infantry charge at you with weapons drawn. React with Athletics -1.,The infantry attempt a maneuver to scatter you. React with Insight.,"The infantry are the elite corps of the Porcelain Army of the Free Dominions and, traditionally, they are all undines. They proudly wear pearly white sets of armor made with the porcelain mined in the quarry of the Great Bowl, an extremely hard material polished by the incessant flow of water. The infantry use heavy weapons and double-bitted keys, but they are just as famous for their precision with muskets.","<strong>Charge: </strong>The porcelain infantry charges at you with keys and bayonets. Characters who don't pass a Critical Reaction Roll in Athletics + War become Hurt. If they are already Hurt, they become Broken.<br><strong>Defensive Formation: </strong>The porcelain infantry get in formation. From now on, Characters have -1 to all Action Rolls made to attack.<br><strong>Water Retention: </strong>The porcelain infantry sweat profusely, shrugging off their wounds and exhaustion. The porcelain infantry can suffer no more Stress this turn."
Golden Silk Orbweaver,Critical Opponent,5,13,Crucial Boxes: 2-4-6-8-11,"Cobweb Volley, then Cobweb Volley, then Lash, then Cobweb Volley, then Lash","Beast, Huge, Triple Threat, Golden Cobweb, Unreachable, Venomous",-,The spider scampers on the wall and creates a tremor in its web. React with Grace.,The spider quickly strikes at you with its legs. React with Dexterity.,The spider vanishes for a few seconds... Then lunges out of thin air. React with Caution.,The spider jumps on you. React with Athletics.,The spider dashes around you. Then it attacks. React with Insight.,The spider hurls a cobweb projectile toward you. React with Elusion -1.,"The golden silk orbweaver is an exotic beast that has arrived from Farbeyond by following the Sluagh on the day of Samhain. It was named after its ability to spin an extremely hard web that looks like a golden net. These extremely rare spiders love to stay hidden and attack littlings from a distance while they hold back on their webs. The most famous orbweaver in the House is Mammon, a spider who can offer the Goldthirst Contract.","<strong>Cobweb Volley: </strong>In rapid succession, the spider targets all Characters with its cobweb. Characters who don't pass a Critical Reaction Roll in Elusion + War are trapped. See the Golden Cobweb Trait.<br><strong>Lash: </strong>The spider shakes its web. Characters who don't pass a Critical Reaction Roll in Grace + War fall to the ground. Characters on the ground must use their action to stand back up. Until they do, they suffer -1 to all rolls."
Net Casting Spider,Critical Opponent,5,15,Crucial Boxes: 5-10-15,"Cobweb Trap, then Cobweb Trap, then Pile On","Beast, Huge, Triple Threat, Cobweb, Venomous, Nimble, Counter-attack",-,"The spider crashes into you, trying to push you to the ground. React with Strength.",The spider attacks with its long legs. React with Fight.,"The spider vanishes in the darkness, then lunges toward you. React with Caution -1.","The spider runs toward you, then jumps on you. React with Athletics.",The spider repeatedly strikes as it moves forward. React with Dexterity.,The spider hurls cobweb projectiles toward you. React with Elusion.,"The net casting spider is slim and silent. It has the terrible habit of laying elaborate traps made to measure for littlings. These beasts have been the cause of many mysterious disappearances in the furthest corners of the House. They can weave webs that look like nets and hold them in their front legs to suddenly envelop their prey. The most famous arachnid of this kind is the Fog Giant from Pinewood. A creature so silent, it can even grant a Neverheard Contract.","<strong>Cobweb Trap: </strong>The spider weaves a cobweb net and uses it to trap the Characters. Characters who don't pass a Extreme Reaction Roll in Caution + War are trapped. See the Cobweb Trait.<br><strong>Pile On: </strong>The spider focuses on the weakest prey in sight. The Character with the highest level of Stress immediately suffers 1 Stress. If this makes them Overstressed or forces them to Bow Out, the Move gets repeated."
Giant Centipede Tail,Critical Opponent,5,12,Crucial Boxes: 2-4-6-8-10-12,"Encircle, then Slam, then Slap, then Slam, then Slap, then Things Get Serious","Beast, Giant, Double Trouble, Crawling, Counter-attack, Venomous",-,"The centipede causes a collapse with its tail, you must find cover. React with Investigation.",The centipede shakes its tail left and right. React with Caution.,"The centipede shakes its tail, causing an earthquake. React with Grace.",The centipede uses its tail to swipe at you. React with Athletics -1.,The centipede shakes its tail covered in venomous legs. React with Will.,"The centipede slithers around you, trying to constrict you with its tail. React with Elusion.",This is only the tail...,"<strong>Encircle: </strong>The giant centipede crawls around the group in a whirl. All Characters suffer -1 to their next Reaction Roll.<br><strong>Slam: </strong>The giant centipede violently rams its tail against the Characters. Characters who don't pass a Critical Reaction Roll in Athletics + War become Hurt. If they are already Hurt, they become Tired. If they are already Tired, they become Broken.<br><strong>Slap: </strong>A powerful blow of the tail blasts the Characters away. Characters who don't pass a Critical Reaction Roll in Caution + War get disarmed and thrown out of combat. They'll need an entire turn to return in melee.<br><strong>Things Get Serious: </strong>The Characters managed to wound the giant centipede enough to make it angry. The giant centipede falls on them, ready to fight with its full strength. Characters who don't pass a Extreme Reaction Roll in Will + War become Scared and suffer -1 to their next roll. Then, go to Giant Centipede."
